Kunta,Vuosi,Teho
Vöyri,2026,25
Iitti,2025,37.2
Suonenjoki,2025,44
Eurajoki,2025,80.6
Ii,2025,186
Siikajoki,2025,
Siikajoki,2025,
Siikajoki,2025,130
Kristiinankaupunki,2025,105.6
Säkylä,2025,38.4
Uusikaarlepyy,2025,95
Hyrynsalmi,2025,53
Lestijärvi,2025,455.4
Pieksämäki,2025,145.2
Vöyri,2024,92.4
Kristiinankaupunki,2024,130
Oulainen,2024,147.5
Kyyjärvi,2024,45
Pori,2024,93
Kurikka,2024,148.5
Kurikka,2024,165
Siikajoki,2024,74
Ii,2024,29.5
Ii,2024,70.8
Närpiö,2024,40.4
Kristiinankaupunki,2024,380
Perho,2024,84
Karstula,2024,29.5
Karstula,2024,30
Oulainen,2024,41.3
Haapajärvi,2024,86.8
Pudasjärvi,2024,76.5
Kristiinankaupunki,2023,56
Isojoki,2023,33
Pyhäjärvi,2023,93
Hyrynsalmi,2023,46
Hyrynsalmi,2023,30
Alajärvi,2023,78
Alajärvi,2023,143
Vöyri,2023,29.5
Somero,2023,17.2
Karvia,2023,30
Kalajoki,2023,79.8
Kemijärvi,2023,96.7
Kinnula,2023,45.6
Kyyjärvi,2023,45.6
Saarijärvi,2023,29
Siikajoki,2023,120
Mustasaari,2023,83
Pyhäjoki,2023,188
Siikajoki,2023,2
Kalajoki,2023,39.9
Kannus,2023,48
Saarijärvi,2023,38.5
Sievi,2022,44
Närpiö,2022,102
Soini,2022,30
Humppila,2022,26
Isojoki,2022,86
Kurikka,2022,44
Kurikka,2022,34
Kurikka,2022,48
Kristiinankaupunki,2022,250
Haapavesi,2022,42
Maalahti,2022,29
Kalajoki,2022,404
Haapavesi,2022,48
Raahe,2022,68
Vaala,2022,132
Siikalatva,2022,43
Pyhäjoki,2022,57
Kalajoki,2022,40
Pyhäjoki,2022,88
Pyhäjoki,2022,56
Eckerö,2022,42
Sastamala,2022,13
Karstula,2022,43.2
Posio,2022,126
Uusikaarlepyy,2021,30.1
Kauhajoki,2021,37.8
Haapajärvi,2021,103.2
Sievi,2021,30
Vöyri,2021,30.1
Pihtipudas,2021,30
Kajaani,2021,211
Pyhäjoki,2021,21.5
Närpiö,2020,81
Liminka,2020,19.2
Maalahti,2020,30
Maalahti,2020,22.5
Marttila,2020,27
Närpiö,2020,90
Kurikka,2020,30.1
Pyhäjoki,2020,91
Ii,2019,21
Kannus,2019,59
Kokkola,2018,14.4
Jalasjärvi,2017,6.9
Lapua,2017,4.2
Leppävirta,2017,10.4
Oulu,2017,3
Pyhäjoki,2017,26.4
Raahe,2017,34
Raahe,2017,48.3
Teuva,2017,124
Uusikaupunki,2017,9
Hyrynsalmi,2017,60
Isojoki,2017,57
Uusikaarlepyy,2017,7
Jämijärvi,2017,27
Kokkola,2017,2.4
Kristiinankaupunki,2017,3.5
Simo,2017,10
Kristiinankaupunki,2017,117
Simo,2017,38
Vöyri,2016,2.5
Alavieska,2016,29.7
Jokioinen,2016,29.2
Ilmajoki,2016,56.1
Kalajoki,2016,6.9
Kalajoki,2016,92
Kalajoki,2016,73
Kankaanpää,2016,27
Karvia,2016,24
Kauhajoki,2016,22.5
Kittilä,2016,51
Lapua,2016,21
Perho,2016,27
Kuusamo,2016,23.1
Raahe,2016,33
Hyrynsalmi,2016,30
Ii,2015,54
Simo,2015,196
Alavieska,2015,19.8
Pyhäjoki,2015,33
Haapajärvi,2015,29.1
Kalajoki,2015,36
Merijärvi,2015,13.2
Seinäjoki,2015,7.5
Siikainen,2015,26.4
Siikajoki,2015,24.3
Sodankylä,2015,27
Vaasa,2015,52.8
Ylivieska,2015,29.7
Ii,2015,19.2
Tornio,2014,36
Raahe,2014,6
Ilmajoki,2014,3
Kauhava,2014,2.5
Kauhajoki,2014,2.5
Luhanka,2014,18
Närpiö,2014,15
Raahe,2014,33
Salo,2014,15
Seinäjoki,2014,1.5
Simo,2014,18
Pori,2014,54
Kankaanpää,2013,22
Ilmajoki,2013,0.2
Lappeenranta,2013,21
Merijärvi,2013,14
Raahe,2013,21
Ruovesi,2013,0.6
Salo,2013,0.6
Sauvo,2013,0.6
Tervola,2013,30
Teuva,2013,3
Huittinen,2013,0.9
Hamina,2012,8
Huittinen,2012,3.6
Ii,2012,34
Ikaalinen,2012,0.6
Kemi,2012,2
Simo,2012,9
Simo,2012,9
Vaasa,2012,3.6
Eura,2012,0.5
Ikaalinen,2011,1
Jalasjärvi,2011,0.75
Tornio,2010,45
Hamina,2010,6
Kauhava,2010,0.5
Pori,2010,44
Alavus,2009,0.6
Kurikka,2009,0.75
Pori,2009,3
Pori,2007,2
Kemiönsaari,2007,6
Lemland,2007,14
Eurajoki,2005,0.5
Kemi,2005,42
Luoto,2006,1
Pori,2006,3
Sastamala,2005,0.225
Sottunga,2005,0.66
Hanko,2004,8
Sastamala,2004,0.225
Raahe,2004,21
Huittinen,2003,0.075
Jalasjärvi,2003,0.22
Lumparland,2003,1.2
Kotka,1999,7
Oulu,1999,15.6
Pori,1999,13
Föglö,1999,0.6
Muonio,1999,3
Lumijoki,1999,2
Finström,1998,1.1
Vårdö,1998,0.5
Lemland,1997,2.4
Kökar,1997,0.5
Hailuoto,1997,2
Ii,1997,1.8
Enontekiö,1996,1.5
Ii,1995,7
